Id,SalePrice
1461,120572.15
1462,144827.19
1463,160741.75
1464,182911.84
1465,223815.5
1466,184111.4
1467,157276.86
1468,175035.77
1469,189447.22
1470,124269.43
1471,192511.4
1472,134045.62
1473,134589.88
1474,166751.28
1475,137110.78
1476,358266.2
1477,284518.1
1478,326997.53
1479,296092.38
1480,373049.62
1481,315061.9
1482,233132.6
1483,169412.73
1484,185868.38
1485,196298.02
1486,216639.56
1487,324152.0
1488,285451.97
1489,190382.69
1490,177571.98
1491,212446.64
1492,103242.52
1493,168566.36
1494,316425.03
1495,310248.38
1496,202757.44
1497,213636.5
1498,187718.08
1499,187718.08
1500,164426.45
1501,178375.0
1502,181729.0
1503,278893.97
1504,253353.42
1505,202308.0
1506,185181.86
1507,231707.36
1508,206041.33
1509,175919.84
1510,142827.44
1511,141887.31
1512,145594.78
1513,181108.08
1514,139968.53
1515,191707.67
1516,163628.69
1517,138554.08
1518,147885.88
1519,201966.06
1520,130491.29
1521,133309.78
1522,169264.9
1523,124331.11
1524,123048.06
1525,120608.01
1526,122999.5
1527,101667.87
1528,138161.72
1529,138960.75
1530,161098.62
1531,116004.8
1532,88104.57
1533,145257.47
1534,135610.78
1535,145435.77
1536,113043.34
1537,71590.61
1538,166153.77
1539,236221.2
1540,153259.69
1541,151810.36
1542,145695.75
1543,179841.84
1544,82318.12
1545,131107.83
1546,145653.73
1547,134293.25
1548,145630.64
1549,126135.92
1550,137157.14
1551,119440.62
1552,142027.77
1553,121698.445
1554,128670.016
1555,140619.19
1556,110539.266
1557,104527.414
1558,122614.266
1559,109498.48
1560,136337.1
1561,143708.19
1562,123189.695
1563,123044.66
1564,151672.67
1565,151907.78
1566,192469.2
1567,95161.9
1568,197512.77
1569,125315.27
1570,133070.3
1571,127991.47
1572,128996.586
1573,204849.89
1574,134151.86
1575,193277.4
1576,259486.66
1577,190934.36
1578,138097.25
1579,140830.52
1580,211950.23
1581,133936.72
1582,130706.914
1583,302676.44
1584,234954.94
1585,148304.84
1586,74271.06
1587,120943.81
1588,137339.36
1589,122801.08
1590,139235.61
1591,96343.95
1592,114193.85
1593,130112.87
1594,203090.17
1595,124586.49
1596,190738.53
1597,175567.53
1598,208669.67
1599,211225.6
1600,218551.1
1601,57279.59
1602,120017.34
1603,79075.625
1604,245341.45
1605,297949.28
1606,157741.14
1607,213768.66
1608,238155.25
1609,190195.16
1610,153666.06
1611,143879.2
1612,152300.89
1613,146170.12
1614,129380.97
1615,108956.47
1616,108956.47
1617,122323.52
1618,125137.086
1619,132410.38
1620,257234.36
1621,151186.88
1622,133946.67
1623,249059.02
1624,192157.4
1625,127320.28
1626,165166.66
1627,182800.47
1628,316973.0
1629,207985.9
1630,286403.34
1631,235281.62
1632,246188.86
1633,194723.1
1634,184725.02
1635,176573.44
1636,157781.8
1637,170836.25
1638,225812.69
1639,179947.58
1640,261789.03
1641,181987.47
1642,224857.48
1643,254572.05
1644,252347.38
1645,153513.52
1646,147287.64
1647,176831.0
1648,141796.03
1649,132946.25
1650,123519.41
1651,123937.086
1652,134507.2
1653,134268.06
1654,172302.17
1655,170363.27
1656,167427.28
1657,172978.2
1658,167765.33
1659,137369.8
1660,138350.98
1661,389417.44
1662,374953.38
1663,343183.53
1664,410192.66
1665,329871.3
1666,293853.25
1667,329538.94
1668,330199.3
1669,319533.62
1670,333246.2
1671,217831.42
1672,361612.28
1673,334759.34
1674,286331.7
1675,171339.22
1676,168392.8
1677,196405.42
1678,400569.06
1679,313082.47
1680,294671.75
1681,274609.62
1682,289843.72
1683,197716.48
1684,201282.31
1685,178818.58
1686,189019.7
1687,196298.02
1688,210803.36
1689,208763.62
1690,202476.05
1691,194146.8
1692,303531.0
1693,196298.02
1694,178488.31
1695,197780.9
1696,280158.16
1697,197780.9
1698,334817.66
1699,303383.22
1700,232182.39
1701,268803.84
1702,291278.75
1703,289497.56
1704,291195.84
1705,236038.73
1706,364121.75
1707,201163.1
1708,199236.64
1709,319851.03
1710,236788.75
1711,295191.03
1712,255704.28
1713,252239.12
1714,206102.44
1715,211768.58
1716,189875.38
1717,185976.6
1718,147589.81
1719,221115.88
1720,281197.25
1721,183998.28
1722,141631.78
1723,135450.9
1724,243030.23
1725,235976.78
1726,188023.02
1727,164795.58
1728,202323.58
1729,167296.44
1730,192917.38
1731,131900.95
1732,127208.336
1733,119144.37
1734,113062.43
1735,122404.53
1736,121845.25
1737,295987.9
1738,213491.75
1739,314834.7
1740,193204.88
1741,168297.45
1742,178375.0
1743,199027.42
1744,237758.78
1745,208178.5
1746,275128.3
1747,225423.8
1748,231134.66
1749,137376.7
1750,142703.2
1751,237807.94
1752,122495.24
1753,157001.66
1754,225083.88
1755,157693.16
1756,119273.04
1757,118025.95
1758,147907.42
1759,153586.52
1760,144874.9
1761,144773.31
1762,178239.5
1763,169605.73
1764,120072.555
1765,177178.5
1766,161848.89
1767,169998.48
1768,128860.78
1769,178441.84
1770,119947.54
1771,131455.52
1772,138746.86
1773,118194.67
1774,161322.66
1775,133673.9
1776,134085.31
1777,107029.12
1778,121571.73
1779,130129.38
1780,185012.6
1781,127997.555
1782,88127.86
1783,130574.6
1784,83766.234
1785,108645.33
1786,156069.61
1787,180238.33
1788,59964.547
1789,109756.61
1790,59052.73
1791,252492.44
1792,147941.69
1793,145859.39
1794,139380.56
1795,135864.42
1796,137487.47
1797,145441.88
1798,125369.6
1799,108221.805
1800,132280.81
1801,121341.47
1802,161983.3
1803,182349.53
1804,134842.22
1805,134696.5
1806,139404.58
1807,169394.81
1808,124605.984
1809,119826.4
1810,148626.55
1811,128870.01
1812,104542.266
1813,133570.0
1814,96359.66
1815,59326.688
1816,95370.2
1817,116236.36
1818,147561.97
1819,125535.83
1820,67465.87
1821,135386.12
1822,171506.2
1823,62271.34
1824,135033.75
1825,131209.86
1826,110824.06
1827,105089.78
1828,130847.76
1829,206392.44
1830,162188.0
1831,169429.14
1832,149813.58
1833,154078.86
1834,130361.336
1835,144681.33
1836,147329.14
1837,75257.19
1838,129342.25
1839,90460.734
1840,148966.75
1841,121343.65
1842,109562.87
1843,130847.445
1844,148682.88
1845,145504.08
1846,148340.1
1847,166434.81
1848,63288.02
1849,137345.08
1850,125684.414
1851,153881.98
1852,125283.336
1853,118081.46
1854,176347.1
1855,164189.08
1856,221193.9
1857,140928.8
1858,187596.64
1859,150197.42
1860,155679.23
1861,149061.62
1862,377136.38
1863,377136.38
1864,377136.38
1865,327459.53
1866,329121.25
1867,280591.47
1868,255433.84
1869,193029.27
1870,270563.75
1871,280905.1
1872,174965.62
1873,214056.42
1874,136541.97
1875,199312.73
1876,192431.02
1877,199588.25
1878,201970.03
1879,129981.14
1880,134089.38
1881,248391.81
1882,270195.62
1883,215510.25
1884,223388.08
1885,237286.34
1886,253144.19
1887,196368.28
1888,286508.44
1889,174168.42
1890,118154.0
1891,158642.75
1892,105404.89
1893,135274.1
1894,137255.7
1895,146843.75
1896,127114.49
1897,124106.03
1898,133613.42
1899,138487.19
1900,137081.66
1901,149370.28
1902,136857.0
1903,237332.17
1904,126312.29
1905,167630.34
1906,131764.77
1907,184787.22
1908,149161.75
1909,158143.75
1910,158143.75
1911,200273.61
1912,241294.9
1913,155369.17
1914,74251.51
1915,246527.78
1916,60873.324
1917,305052.5
1918,133334.89
1919,159998.92
1920,157072.67
